Date,Volume,Adj Close
7/5/2006,4985600,421.46
7/3/2006,2156700,423.2
6/30/2006,6258000,419.33
6/29/2006,6658200,417.81
6/28/2006,3710500,406.11
6/27/2006,4107100,402.32
6/26/2006,3551200,404.22
6/23/2006,5314800,404.86
6/22/2006,5911900,399.95
6/21/2006,8744400,402.13
6/20/2006,4039900,387.17
6/19/2006,7633100,388.14
6/16/2006,5304600,390.7
6/15/2006,6785700,391
6/14/2006,7772000,384.39
6/13/2006,7659100,386.52
6/12/2006,5019100,381.54
6/9/2006,6157500,386.57
6/8/2006,10359500,393.3
6/7/2006,8911300,386.51
6/6/2006,10259800,389.99
6/5/2006,5558500,374.44
6/2/2006,6386400,379.44
6/1/2006,6278000,382.62
5/31/2006,7981300,371.82
5/30/2006,4316000,371.94
5/26/2006,3667000,381.35
5/25/2006,8194600,382.99
5/24/2006,9553800,381.25
5/23/2006,8983000,375.58
5/22/2006,8604400,370.95
5/19/2006,11398200,370.02
5/18/2006,5835000,370.99
5/17/2006,10643800,374.5
5/16/2006,6491100,371.3
5/15/2006,8590100,376.2
5/12/2006,10087600,374.13
5/11/2006,8892800,387
5/10/2006,6187200,402.98
5/9/2006,9140600,408.8
5/8/2006,5118600,394.78
5/5/2006,6065000,394.3
5/4/2006,4652000,394.75
5/3/2006,8072200,394.17
5/2/2006,13104300,394.8
5/1/2006,10361200,398.9
4/28/2006,7421300,417.94
4/27/2006,8337900,420.03
4/26/2006,7277800,425.97
4/25/2006,9569000,427.16
4/24/2006,8836400,440.5
4/21/2006,22551300,437.1
4/20/2006,12271500,415
4/19/2006,6781700,410.5
4/18/2006,8137600,404.24
4/17/2006,8259500,406.82
4/13/2006,6552900,402.16
4/12/2006,6017000,408.95
4/11/2006,11107200,409.66
4/10/2006,9320100,416.38
4/7/2006,7025900,406.16
4/6/2006,8598500,411.18
4/5/2006,13410500,407.99
4/4/2006,15715700,404.34
4/3/2006,8122700,389.7
3/31/2006,36521400,390
3/30/2006,14711700,388.44
3/29/2006,19027500,394.98
3/28/2006,8945800,377.2
3/27/2006,7023700,369.69
3/24/2006,15180600,365.8
3/23/2006,7434700,341.89
3/22/2006,7596000,340.22
3/21/2006,9831100,339.92
3/20/2006,10407600,348.19
3/17/2006,8551700,339.79
3/16/2006,10016700,338.77
3/15/2006,12768800,344.5
3/14/2006,18450700,351.16
3/13/2006,13642400,337.06
3/10/2006,19325600,337.5
3/9/2006,13910400,343
3/8/2006,11745600,353.88
3/7/2006,10378800,364.45
3/6/2006,8939700,368.1
3/3/2006,11962000,378.18
3/2/2006,18330300,376.45
3/1/2006,12061200,364.8
2/28/2006,39437600,362.62
2/27/2006,10212200,390.38
2/24/2006,6484300,377.4
2/23/2006,12551600,378.07
2/22/2006,6476200,365.49
2/21/2006,8686000,366.59
2/17/2006,14320200,368.75
2/16/2006,21315500,366.46
2/15/2006,12947000,342.38
2/14/2006,14654000,343.32
2/13/2006,19717800,345.7
2/10/2006,15223500,362.61
2/9/2006,11912400,358.77
2/8/2006,20804100,369.08
2/7/2006,16630200,367.92
2/6/2006,8940400,385.1
2/3/2006,18281800,381.55
2/2/2006,11807700,396.04
2/1/2006,27122500,401.78
1/31/2006,22066000,432.66
1/30/2006,8588900,426.82
1/27/2006,8452200,433.49
1/26/2006,12926100,434.27
1/25/2006,18739800,433
1/24/2006,15464600,443.03
1/23/2006,22741400,427.5
1/20/2006,41116700,399.46
1/19/2006,14537300,436.45
1/18/2006,20485700,444.91
1/17/2006,8270300,467.11
1/13/2006,7656600,466.25
1/12/2006,10125300,463.63
1/11/2006,9007400,471.63
1/10/2006,9097100,469.76
1/9/2006,12791900,466.9
1/6/2006,17756900,465.66
1/5/2006,10808300,451.24
1/4/2006,15286400,445.24
1/3/2006,13121200,435.23
12/30/2005,7587100,414.86
12/29/2005,6945800,420.15
12/28/2005,7117900,426.69
12/27/2005,6702800,424.64
12/23/2005,4595100,430.93
12/22/2005,7546600,432.04
12/21/2005,11221900,426.33
12/20/2005,10084700,429.74
12/19/2005,21936800,424.6
12/16/2005,16330500,430.15
12/15/2005,6045800,422.55
12/14/2005,6630400,418.96
12/13/2005,8157000,417.49
12/12/2005,6950100,412.61
12/9/2005,7643400,409.2
12/8/2005,8910100,410.65
12/7/2005,11665900,404.22
12/6/2005,15114700,404.54
12/5/2005,10289400,405.85
12/2/2005,7543500,417.7
12/1/2005,9744900,414.09
11/30/2005,15596600,404.91
11/29/2005,21495800,403.54
11/28/2005,11008400,423.48
11/25/2005,4840100,428.62
11/23/2005,10085000,422.86
11/22/2005,9596000,416.47
11/21/2005,10335100,409.36
11/18/2005,7025700,400.21
11/17/2005,9212200,403.45
11/16/2005,8695200,398.15
11/15/2005,8624900,392.8
11/14/2005,7807900,396.97
11/11/2005,7063900,390.4
11/10/2005,9128700,391.1
11/9/2005,10466900,379.15
11/8/2005,7897500,389.9
11/7/2005,9591500,395.03
11/4/2005,8824900,390.43
11/3/2005,7448400,385.95
11/2/2005,10565400,379.68
11/1/2005,16356100,379.38
10/31/2005,14342900,372.14
10/28/2005,5903500,358.17
10/27/2005,5134400,353.06
10/26/2005,8907500,355.44
10/25/2005,6878300,346.91
10/24/2005,9431700,348.65
10/21/2005,22892400,339.9
10/20/2005,13911700,303.2
10/19/2005,7010700,308.7
10/18/2005,7077800,303.28
10/17/2005,7566700,305
10/14/2005,8519100,296.14
10/13/2005,10567700,297.44
10/12/2005,9306200,300.97
10/11/2005,8542600,306.1
10/10/2005,5572200,310.65
10/7/2005,6770300,312.99
10/6/2005,7993800,312.75
10/5/2005,8328400,310.71
10/4/2005,9144300,311
10/3/2005,9160300,318.68
9/30/2005,9151300,316.46
9/29/2005,5613800,309.62
9/28/2005,7997400,306
9/27/2005,6873100,313.94
9/26/2005,9894400,314.28
9/23/2005,8483800,315.36
9/22/2005,13006400,311.37
9/21/2005,10119700,311.9
9/20/2005,9351000,307.91
9/19/2005,5761900,303.79
9/16/2005,7579800,300.2
9/15/2005,15466200,302.62
9/14/2005,11275800,303
9/13/2005,10299900,311.68
9/12/2005,10386500,309.74
9/9/2005,4390500,299.09
9/8/2005,6613300,295.39
9/7/2005,7499500,294.87
9/6/2005,4212300,287.11
9/2/2005,3434500,288.45
9/1/2005,2742100,286.25
8/31/2005,5034000,286
8/30/2005,4792000,287.27
8/29/2005,5903000,288.45
8/26/2005,3755300,283.58
8/25/2005,4376600,282.59
8/24/2005,8593100,282.57
8/23/2005,5821700,279.58
8/22/2005,6813000,274.01
8/19/2005,5542900,280
8/18/2005,11872800,279.99
8/17/2005,3883300,285.1
8/16/2005,7109200,285.65
8/15/2005,8174700,284
8/12/2005,6585900,289.72
8/11/2005,7514900,284.05
8/10/2005,6879000,285.68
8/9/2005,5779300,291.57
8/8/2005,4481800,291.25
8/5/2005,5939700,292.35
8/4/2005,5236500,297.73
